sku,size,expired_at,created_at,address_line1,postal_code,locality,city,state,country,address_line2,notes
73022559,33 X 8,2022-02-10 13:10,2022-01-19 22:19,zimqi #6042,47777,Amand,Caracas,Taiyuan,Saint Vincent and the Grenadines,CbyVnnvDbmRaoEXIvEMe,wbLskaq2Ybzsgo AscyIGcmeR l3z59TsjM6SISJ1G2s29FrtbKnDOyE
46664651,30 X 83,2022-02-14 18:14,2022-01-17 11:17,yxntcd #3,28784,Erskine,Srinagar,Phoenix,Bhutan,CpWjUrDlUofVZ,vgpmi305vX3N  lj6kaWEbI d6WTJ4mpdhXmcuYxlqnmu1yD4CVNDCWcHXIZnwx2F8XPYPbG2r2 J8 SDteJa0d309nQ733
14059544,72 X 5,2022-02-19 03:19,2022-01-02 07:02,qxbmqzx #930,43630,Swigart,Darwin,St. Louis,Western Sahara,Cyb,7jkxcZKx 9aFHx6v8aOAsOulA5TYvsgEu3HFncIhdCI97ZmF7hOdQ6DdVvS9mxUPcwQeo CjenH
12191747,09 X 1,2022-02-14 21:14,2022-01-12 19:12,wsmoeo #51,60439,Erskine,Kingston,Vilnius,Lithuania,RueIlyOgLljFA,qT D7iN70i2q4Apx6RWh ZO0EzSUxuwWgtY9DfvvAIODn
16617001,4 X 13,2022-02-07 20:07,2022-01-29 03:29,nqtx #7,09520,Colleen,Whitehorse,Douala,South Georgia and the South Sandwich Islands,cUjyaz,d3ePEPjXzNyF
51957283,73 X 39,2022-02-20 13:20,2022-01-16 10:16,ygnynni #8,58966,Sundin,Belém,Asmara,New Caledonia,my,"KRBr4GwjAL5fcH5U8tYHNQj8gjROAkyW0PEGjj3YgXg4xRHir7LcSKf3W3RD1ud1J2AtyLruq5o9Wftj8ksOkFSBUxW "
66690640,6 X 58,2022-02-23 23:23,2022-01-13 07:13,uhdlwg #50,64858,Carvey,Panama City,Glasgow,Finland,,emDuZ Eeu8ljrThRC2ttg3tTC1 NohSMXJH s04aZvWbWwot3kVFMf3jV tQOCYKUO6wPJugvBp
97663078,90 X 44,2022-02-15 21:15,2022-01-19 14:19,dhecg #2970,48581,Maiah,Petropavlovsk-Kamchatsky,Pretoria,Nauru,EyRiEfsYL,K IR0I2tkspbn H4IE9uOieXLi0BGCePnXfXvDX0veu4s8 J1 EIiosIrOXpYmeWEGbj1fVbz1A1gFiFlm8MFYeCSVKVUuI
42892846,55 X 8,2022-02-01 23:01,2022-01-02 14:02,ozsmeu #245,49292,Dahlia,Saint-Pierre,Hanga Roa,Papua New Guinea,xIlBBLvk,52cCdVghl E
14648105,1 X 95,2022-02-09 07:09,2022-01-03 15:03,eqgdqbg #9,49319,McCutcheon,Abu Dhabi,Hiroshima,Lebanon,FUIHPfcpgIpuXahyk,j2Re7TsXVMNm3weNLabuwxsygzdQeDnXwt43DBz9MXcBS REEU8e
75456796,21 X 73,2022-02-24 10:24,2022-01-08 06:08,dafq #494,66101,Cullin,Cebu City,Bangui,"Korea, Republic of",MjRxy,Q1hdUIBuZ2Qx AD5v5DKHbrt veI YA1VgYkUAfSm0KfWCXOD8QmKK2N9FRLhuox6G0 ZW2jVgou3GpaZDl7VXC5DpeVQkJ
47973194,4 X 3,2022-02-19 05:19,2022-01-05 03:05,mbaxphsv #9335,87336,Kosey,Amsterdam,Sana'a,Western Sahara,GgVmgAKxapyeLtKdOQE,v51Jj SwSOIIunO5SUCygzbn9HFXvfpa1qPP1C0vRn1 WqA 5gJQwpJMtmw3G4lDBw
84068145,5 X 85,2022-02-13 15:13,2022-01-10 15:10,kuwxa #302,70944,Raseda,Dibrugarh,Port Hedland,Egypt,nCTd,T3ROE89tDYzikrw2m3AnrVBbjoy3IPI8KlfuduWOPEEo7Ji0Hb3WoieGzbmk6haETW1Um0en67zeAfZNmMJ
25027395,8 X 53,2022-02-23 16:23,2022-01-30 17:30,mnkqq #8647,08511,Wooster,Vienna,Timbuktu,Nauru,,ml1E49fBy7tJyUhj1yuFLrw RrEysr17obtBdcsewojhY9kH zhj9t8QmQdc JaOrx0
39438783,76 X 24,2022-02-09 20:09,2022-01-19 08:19,epgjq #0,37716,Jillane,Algiers,Cape Town,Sweden,iMOO,A3lddnq qEKpGVsGXj543
28140791,4 X 7,2022-02-09 07:09,2022-01-22 02:22,vuykybdi #756,48661,Francyne,Strasbourg,Sana'a,Thailand,P OzgO,aoH jKLit4WotSC91CjwbbI
36191205,31 X 93,2022-02-19 02:19,2022-01-17 01:17,pjdyj #06,13549,Lory,Libreville,Edinburgh,Antarctica,yMUnz,xX7cZdUv
95393338,97 X 41,2022-02-22 10:22,2022-01-15 14:15,ipfpdhcx #46,88207,Donell,Manchester,Kobe,Sweden,opLk zvWtOsZhHjzR,vXbQ8qtMyPpjYytnAlaZnmcaM7wFfymP2dQFOYkvTA8ZdwZshPhtY8vUZa7  kKL2CbAKmSPk
18118438,27 X 38,2022-02-14 04:14,2022-01-16 22:16,nuutskho #7,30955,Bronk,Port Elizabeth,Longyearbyen,Viet Nam,bTglIYDSgWfm,bMzWFM ko8YFEr3fPG4nFTN
53841449,52 X 25,2022-02-13 01:13,2022-01-21 23:21,sasc #608,50552,Travax,Tabriz,Weno,Barbados,sieBZfPe FoEADpwLi,uomgA39e1KWctTLcERtlg
94037996,11 X 5,2022-02-25 20:25,2022-01-29 07:29,byaet #648,02924,Leler,Nicosia,Kharkiv,Saudi Arabia,LYlnQQfFYf,hVtkTaspOsXB
38945449,90 X 2,2022-02-05 23:05,2022-01-20 19:20,lawbbden #99,22791,Serilda,Tartu,Pago Pago,"Macedonia, The Former Yugoslav Republic of",HJhFWzBQ,cLHdAmEIrJiBWRG10l1Of5NwS0583D08o zlsYUBFeA9E3j66RKKJaqW2H7Xlge8tSx5uacG0pUW
58851425,32 X 04,2022-02-09 19:09,2022-01-14 13:14,rwcxqbh #87,50894,Moina,Düsseldorf,Multan,Guinea,PAjGmRoRyt,5KdT8X7
37628401,5 X 21,2022-02-10 14:10,2022-01-16 02:16,hjilia #77,76521,Konyn,Sydney,Leipzig,United Kingdom,oeYCQnc,IJkxvMTrsNC uYMoFT07jl101xiB FaIw7EkM9bbkqRY4KaP wOaOpTS5Jb4HmlsifFnEnWM5
76033404,98 X 32,2022-02-11 21:11,2022-01-02 18:02,idhoyxd #5656,26884,Nea,Bucharest,Riyadh,Viet Nam,iQXDShvnJbfDTXYiBDFn,p
